
Tesla Inc,Last: 213.88,Change:  4.67
Date: 10 novembre 2023 à 18:55 UTC−5,Bid: 213.87,Ask: 213.9,Size: 7*3,Volume: 130 859 611
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Nov 10 2023,TSLA231110C00200000,14.7,5.125,13.85,15.2,2799,4.078,0.9996,0.0003,6143,200.00,TSLA231110P00200000,0.01,-0.38,0,0.01,49632,3.4147,-0.0004,0.0003,20791
Fri Nov 10 2023,TSLA231110C00202500,11.51,4.135,10.85,13.55,1301,3.4431,0.9995,0.0004,2089,202.50,TSLA231110P00202500,0.01,-0.67,0,0.01,32620,2.866,-0.0005,0.0004,7983
Fri Nov 10 2023,TSLA231110C00205000,9.48,4.105,8.9,10.55,10321,2.8028,0.9989,0.0011,4408,205.00,TSLA231110P00205000,0.01,-1.15,0,0.01,144664,2.3148,-0.0011,0.0011,15876
Fri Nov 10 2023,TSLA231110C00207500,7.05,3.4,7,8.05,35998,2.1524,0.9834,0.0121,5572,207.50,TSLA231110P00207500,0.01,-1.91,0,0.01,146858,1.7582,-0.0166,0.0121,9701
Fri Nov 10 2023,TSLA231110C00210000,4.71,2.465,4.15,4.8,182892,1.4836,0.8951,0.0486,15173,210.00,TSLA231110P00210000,0.01,-3.015,0,0.01,220146,1.1904,-0.1049,0.0486,16872
Fri Nov 10 2023,TSLA231110C00212500,2.16,0.9,1.95,2.57,180885,0.7753,0.7194,0.0914,10876,212.50,TSLA231110P00212500,0.01,-4.54,0,0.01,154162,0.5978,-0.2806,0.0914,6840
Fri Nov 10 2023,TSLA231110C00215000,0.01,-0.65,0,0.01,334924,0.149,0.453,0.1247,26688,215.00,TSLA231110P00215000,0.28,-6.17,0.25,0.5,81473,0,-0.547,0.1247,12654
Fri Nov 10 2023,TSLA231110C00217500,0.01,-0.335,0,0.01,96374,0.7808,0.2208,0.0802,23781,217.50,TSLA231110P00217500,2.89,-5.735,2.43,3.4,7925,0,-0.7792,0.0802,8312
Fri Nov 10 2023,TSLA231110C00220000,0.01,-0.175,0,0.01,54300,1.3393,0.068,0.0369,43875,220.00,TSLA231110P00220000,5.39,-5.61,5.2,6.15,6755,0,-0.932,0.0369,11601
Fri Nov 10 2023,TSLA231110C00222500,0.01,-0.105,0,0.01,13044,1.8668,0.0099,0.008,22431,222.50,TSLA231110P00222500,7.97,-5.43,7.1,8.65,1191,0,-0.9901,0.008,4967
Fri Nov 10 2023,TSLA231110C00225000,0.01,-0.075,0,0.01,48094,2.3733,0.0007,0.0008,57161,225.00,TSLA231110P00225000,10.53,-5.37,9.6,11.15,2648,0,-0.9993,0.0008,7461
Fri Nov 10 2023,TSLA231110C00227500,0.01,-0.055,0,0.01,4288,2.8638,0,0,12382,227.50,TSLA231110P00227500,13,-5.35,11.95,13.65,1215,0,-1,0,1437
Fri Nov 10 2023,TSLA231110C00230000,0.01,-0.045,0,0.01,11294,3.3408,0,0,35993,230.00,TSLA231110P00230000,16,-4.875,14.45,16.15,1169,0,-1,0,1406
Fri Nov 10 2023,TSLA231110C00232500,0.01,-0.035,0,0.01,2018,3.8062,0,0,10294,232.50,TSLA231110P00232500,18,-5.475,17.3,18.65,200,0,-1,0,154
Fri Nov 10 2023,TSLA231110C00235000,0.01,-0.025,0,0.01,2099,4.2614,0,0,22100,235.00,TSLA231110P00235000,20.35,-5.55,20,21.9,237,0,-1,0,1032
Fri Nov 10 2023,TSLA231110C00237500,0.01,-0.025,0,0.01,1271,4.7072,0,0,7800,237.50,TSLA231110P00237500,22.85,-5.5,22.5,23.65,51,0,-1,0,35
Fri Nov 10 2023,TSLA231110C00240000,0.01,-0.015,0,0.01,2191,5.1446,0,0,16258,240.00,TSLA231110P00240000,25.08,-5.87,25,26.9,101,0,-1,0,91
Fri Nov 10 2023,TSLA231110C00242500,0.01,-0.015,0,0.01,2451,5.5739,0,0,8203,242.50,TSLA231110P00242500,28.35,-4.775,27,28.65,23,0,-1,0,22
Fri Nov 10 2023,TSLA231110C00245000,0.01,-0.015,0,0.01,2343,5.9958,0,0,13305,245.00,TSLA231110P00245000,30.54,-5.185,29.5,31.15,53,0,-1,0,166
Fri Nov 10 2023,TSLA231110C00247500,0.01,-0.005,0,0.01,258,6.4107,0,0,6315,247.50,TSLA231110P00247500,33.25,-4.975,32.2,33.65,14,0,-1,0,1
Fri Nov 10 2023,TSLA231110C00250000,0.01,-0.005,0,0.01,1446,6.8189,0,0,19052,250.00,TSLA231110P00250000,35.6,-5.2,33.85,35.5,1007,0,-1,0,1007
Fri Nov 10 2023,TSLA231110C00252500,0.01,-0.005,0,0.01,332,7.2209,0,0,2583,252.50,TSLA231110P00252500,31.7,0,37.1,39.4,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00255000,0.01,-0.005,0,0.01,1697,7.6168,0,0,11493,255.00,TSLA231110P00255000,40.35,-5.425,39.8,41.9,1,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00257500,0.01,-0.005,0,0.01,3,8.0071,0,0,2015,257.50,TSLA231110P00257500,43,-5.15,41.95,43.65,15,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00260000,0.01,0.005,0,0.01,430,8.3918,0,0,21813,260.00,TSLA231110P00260000,45.7,-5.025,43.3,47.6,8,0,-1,0,9
Fri Nov 10 2023,TSLA231110C00265000,0.02,0.015,0,0.01,77,0,0,0,3697,265.00,TSLA231110P00265000,50.6,-5.075,49.4,51.9,17,0,-1,0,3
Fri Nov 10 2023,TSLA231110C00270000,0.01,0.005,0,0.01,67,0,0,0,6875,270.00,TSLA231110P00270000,55.6,-5.025,53.7,56.9,22,0,-1,0,1
Fri Nov 10 2023,TSLA231110C00275000,0.01,0.005,0,0.01,130,0,0,0,4009,275.00,TSLA231110P00275000,60.65,-5.025,58.85,61.9,8,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00280000,0.01,0.005,0,0.01,14,0,0,0,5437,280.00,TSLA231110P00280000,65.65,-4.95,63.7,66.9,18,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00285000,0.01,0.005,0,0.01,20,0,0,0,4767,285.00,TSLA231110P00285000,70.05,-5.775,68.85,71.9,6,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00290000,0.01,0.005,0,0.01,2,0,0,0,3436,290.00,TSLA231110P00290000,75.05,-5.7,73.85,76.9,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00295000,0.01,0,0,0.01,0,0,0,0,2741,295.00,TSLA231110P00295000,80.75,-5.15,79.45,81.1,6,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00300000,0.01,0.005,0,0.01,5,0,0,0,3898,300.00,TSLA231110P00300000,87.85,-3.05,84.6,86.15,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00305000,0.01,0,0,0.01,0,0,0,0,2502,305.00,TSLA231110P00305000,90.05,-5.85,88.4,92.4,16,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00310000,0.01,0.005,0,0.01,2,0,0,0,2942,310.00,TSLA231110P00310000,95.75,-5.125,94.45,96.1,25,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00315000,0.01,0.005,0,0.01,3,0,0,0,1143,315.00,TSLA231110P00315000,102.7,-3.2,98.7,101.1,7,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00320000,0.01,0,0,0.01,0,0,0,0,427,320.00,TSLA231110P00320000,107.7,-3.2,103.7,107.55,8,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00325000,0.01,0.005,0,0.01,1,0,0,0,315,325.00,TSLA231110P00325000,110.1,-5.55,109.45,111.9,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00330000,0.01,0,0,0.01,0,0,0,0,582,330.00,TSLA231110P00330000,115.25,-5.65,114.45,116.9,2,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00335000,0.01,0,0,0.01,0,0,0,0,435,335.00,TSLA231110P00335000,122.65,-3.25,119.45,121.1,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00340000,0.01,0,0,0.01,0,0,0,0,419,340.00,TSLA231110P00340000,125.95,-4.95,123.2,126.1,30,0,-1,0,2
Fri Nov 10 2023,TSLA231110C00345000,0.01,0,0,0.01,0,0,0,0,139,345.00,TSLA231110P00345000,131.05,-4.85,128.2,131.1,25,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00350000,0.01,0,0,0.01,0,0,0,0,227,350.00,TSLA231110P00350000,137.55,-3.35,134.45,136.1,12,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00355000,0.01,0,0,0.01,0,0,0,0,145,355.00,TSLA231110P00355000,142.55,-3.35,139.4,141.1,8,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00360000,0.01,0,0,0.01,0,0,0,0,213,360.00,TSLA231110P00360000,150.35,-0.55,144.9,146.1,6,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00365000,0.02,0,0,0.01,0,0,0,0,221,365.00,TSLA231110P00365000,152.6,-3.3,149.4,151.1,15,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00370000,0.01,0,0,0.01,0,0,0,0,69,370.00,TSLA231110P00370000,0,0,154.4,156.1,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00375000,0.01,0,0,0.01,0,0,0,0,67,375.00,TSLA231110P00375000,161.95,-3.95,159.6,161.1,2,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00380000,0.01,0,0,0.01,0,0,0,0,117,380.00,TSLA231110P00380000,165.75,-5.15,164.05,166.1,7,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00385000,0,0,0,0.01,0,0,0,0,51,385.00,TSLA231110P00385000,169.95,-5.95,169.45,171.1,4,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00390000,0.01,0,0,0.01,0,0,0,0,120,390.00,TSLA231110P00390000,176.05,-4.85,173.7,176.1,4,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00395000,0,0,0,0.06,0,0,0,0,5,395.00,TSLA231110P00395000,180.5,-5.4,178.7,181.85,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00400000,0.01,0,0,0.01,0,0,0,0,62,400.00,TSLA231110P00400000,185.75,-5.15,183.7,186.85,2,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00405000,0.01,0,0,0.01,0,0,0,0,31,405.00,TSLA231110P00405000,190.75,-5.15,189.6,191.1,3,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00410000,0,0,0,0.06,0,0,0,0,60,410.00,TSLA231110P00410000,195.5,-5.4,193.25,197.6,2,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00415000,0.01,0.005,0,0.06,1,0,0,0,26,415.00,TSLA231110P00415000,200.5,-5.4,198.7,201.85,17,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00420000,0.01,0,0,0.06,0,0,0,0,42,420.00,TSLA231110P00420000,211.12,0.22,204.45,206.1,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00425000,0,0,0,0.06,0,0,0,0,77,425.00,TSLA231110P00425000,0,0,209.45,211.1,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00430000,0.01,0,0,0.01,0,0,0,0,162,430.00,TSLA231110P00430000,215.5,-5.4,214.6,216.1,50,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00435000,0,0,0,0.06,0,0,0,0,31,435.00,TSLA231110P00435000,220.25,-5.65,219.35,221.1,18,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00440000,0,0,0,0.06,0,0,0,0,3,440.00,TSLA231110P00440000,221.93,0,224.45,226.1,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00445000,0,0,0,0.06,0,0,0,0,6,445.00,TSLA231110P00445000,0,0,229.9,231.85,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00450000,0.01,0,0,0.01,0,0,0,0,360,450.00,TSLA231110P00450000,0,0,234.9,236.15,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00455000,0.01,0,0,0.01,0,0,0,0,501,455.00,TSLA231110P00455000,240.25,-5.65,238.7,241.1,5,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00460000,0,0,0,0.06,0,0,0,0,6,460.00,TSLA231110P00460000,239.5,0,243.65,246.1,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00470000,0,0,0,0.06,0,0,0,0,0,470.00,TSLA231110P00470000,262.09,0,254.45,256.1,0,0,-1,0,0
Fri Nov 10 2023,TSLA231110C00480000,0.01,0.005,0,0.01,2,0,0,0,90,480.00,TSLA231110P00480000,267.6,-3.1,264.4,266.1,2,0,-1,0,0
Fri Nov 17 2023,TSLA231117C00005000,212,0,209.2,210.2,0,0,1,0,3,5.00,TSLA231117P00005000,0.01,0,0,0.01,0,8.3974,0,0,16
Fri Nov 17 2023,TSLA231117C00010000,191.1,0,204.2,205.2,0,0,0.9999,0,10,10.00,TSLA231117P00010000,0.01,0.005,0,0.01,2,6.7515,0,0,122
Fri Nov 17 2023,TSLA231117C00015000,0,0,199.2,200.25,0,6.484,0.9999,0,11,15.00,TSLA231117P00015000,0.01,0.005,0,0.01,2,5.8227,-0.0001,0,13
Fri Nov 17 2023,TSLA231117C00020000,0,0,194.2,195.25,0,5.6273,0.9999,0,11,20.00,TSLA231117P00020000,0.01,0,0,0.01,0,5.1767,-0.0001,0,37
Fri Nov 17 2023,TSLA231117C00025000,0,0,189.2,190.25,0,5.4864,0.9998,0,4,25.00,TSLA231117P00025000,0,0,0,0.01,0,4.6823,-0.0001,0,154
Fri Nov 17 2023,TSLA231117C00030000,182.44,3.315,184.2,185.15,44,4.9395,0.9998,0,5,30.00,TSLA231117P00030000,0.01,0,0,0.01,0,4.2823,-0.0001,0,919
Fri Nov 17 2023,TSLA231117C00035000,0,0,179.2,180.25,0,4.4693,0.9998,0,33,35.00,TSLA231117P00035000,0,0,0,0.01,0,3.9466,-0.0001,0,2029
Fri Nov 17 2023,TSLA231117C00040000,170.15,0,174.25,175.2,0,4.3775,0.9998,0,5,40.00,TSLA231117P00040000,0.01,0,0,0.01,0,3.6575,-0.0002,0,1058
Fri Nov 17 2023,TSLA231117C00045000,169.65,0,169.25,170.2,0,4.0223,0.9998,0,4,45.00,TSLA231117P00045000,0.02,0,0,0.01,0,3.4036,-0.0002,0,220
Fri Nov 17 2023,TSLA231117C00050000,166,0,164.25,165.25,0,3.7019,0.9997,0,26,50.00,TSLA231117P00050000,0.02,0,0,0.01,0,3.1774,-0.0002,0,6177
Fri Nov 17 2023,TSLA231117C00055000,155.22,0,159.25,160.25,0,0,0.9997,0,17,55.00,TSLA231117P00055000,0.03,0,0,0.01,0,2.9733,-0.0002,0,1539
Fri Nov 17 2023,TSLA231117C00060000,160.9,0,154.25,155.2,0,3.1327,0.9997,0,1,60.00,TSLA231117P00060000,0.03,0,0,0.01,0,2.7875,-0.0003,0,1681
Fri Nov 17 2023,TSLA231117C00065000,156.1,0,149.25,150.3,0,0,0.9996,0,1,65.00,TSLA231117P00065000,0.04,0,0,0.01,0,2.6169,-0.0003,0,12916
Fri Nov 17 2023,TSLA231117C00070000,0,0,144.25,145.3,0,2.8953,0.9996,0,3,70.00,TSLA231117P00070000,0.01,0.005,0,0.01,4,2.4592,-0.0004,0,6448
Fri Nov 17 2023,TSLA231117C00075000,0,0,139.25,140.2,0,2.6823,0.9995,0,12,75.00,TSLA231117P00075000,0.01,0.005,0,0.01,9,2.3125,-0.0004,0,2190
Fri Nov 17 2023,TSLA231117C00080000,134.66,5.46,134.25,135.3,6,2.4793,0.9995,0,19,80.00,TSLA231117P00080000,0.01,0.005,0,0.01,291,2.1754,-0.0005,0,2794
Fri Nov 17 2023,TSLA231117C00085000,127.54,0,129.25,130.25,0,2.466,0.9994,0,16,85.00,TSLA231117P00085000,0.01,0.005,0,0.01,325,2.0466,-0.0005,0,2086
Fri Nov 17 2023,TSLA231117C00090000,109.44,0,124.3,125.25,0,0,0.9993,0,14,90.00,TSLA231117P00090000,0.01,0.005,0,0.01,5432,1.9252,-0.0006,0,4074
Fri Nov 17 2023,TSLA231117C00095000,116.62,0,119.3,120.3,0,2.1259,0.9992,0,28,95.00,TSLA231117P00095000,0.01,0.005,0,0.01,1056,1.8104,-0.0007,0,2441
Fri Nov 17 2023,TSLA231117C00100000,115.1,5.725,114.3,115.35,2,1.9662,0.9991,0,901,100.00,TSLA231117P00100000,0.01,0.005,0.01,0.02,9224,1.8574,-0.0008,0,13439
Fri Nov 17 2023,TSLA231117C00105000,109.72,5.47,109.3,110.35,7,1.8114,0.9989,0.0001,72,105.00,TSLA231117P00105000,0.02,0.015,0.01,0.02,988,1.745,-0.001,0.0001,6823
Fri Nov 17 2023,TSLA231117C00110000,99,-0.4,104.3,105.35,2,1.8056,0.9987,0.0001,81,110.00,TSLA231117P00110000,0.02,0.005,0.01,0.02,5445,1.6378,-0.0013,0.0001,22782
Fri Nov 17 2023,TSLA231117C00115000,99.6,0,99.3,100.35,0,0,0.9984,0.0001,58,115.00,TSLA231117P00115000,0.03,0.015,0.01,0.02,5855,1.608,-0.0016,0.0001,7817
Fri Nov 17 2023,TSLA231117C00120000,94.52,5.095,94.35,95.35,23,1.3401,0.9981,0.0001,3507,120.00,TSLA231117P00120000,0.03,0.015,0.01,0.03,2804,1.5054,-0.0019,0.0001,23157
Fri Nov 17 2023,TSLA231117C00125000,89.58,5.28,89.35,90.35,1,1.1009,0.9977,0.0002,190,125.00,TSLA231117P00125000,0.03,0.005,0.01,0.03,1066,1.4068,-0.0023,0.0002,13897
Fri Nov 17 2023,TSLA231117C00130000,79.86,0.56,84.35,85.4,2,0,0.9972,0.0002,150,130.00,TSLA231117P00130000,0.03,0.005,0.02,0.04,1524,1.3564,-0.0027,0.0002,5704
Fri Nov 17 2023,TSLA231117C00135000,79.18,4.755,79.35,80.4,6,1.1644,0.9967,0.0003,196,135.00,TSLA231117P00135000,0.04,0.005,0.01,0.04,927,1.262,-0.0032,0.0003,3039
Fri Nov 17 2023,TSLA231117C00140000,72.83,3.38,74.35,75.4,1,1.1699,0.9961,0.0003,440,140.00,TSLA231117P00140000,0.05,0.01,0.02,0.04,408,1.2024,-0.0039,0.0003,3126
Fri Nov 17 2023,TSLA231117C00145000,69.4,4.925,69.4,70.4,1,1.1868,0.9953,0.0004,176,145.00,TSLA231117P00145000,0.06,0.015,0.03,0.05,913,1.112,-0.0046,0.0004,12026
